design_id,family,px_nm,py_nm,feature_min_nm,profile,mph_980,mph_451,status
capsule_hole_Px700_Py520_L320_W140_x,capsule_elliptic_air_hole,700.0,520.0,140.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\capsule_hole_Px700_Py520_L320_W140_x_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\capsule_hole_Px700_Py520_L320_W140_x_balanced_geometry_451.mph,ok
dual_capsule_P600_L260_330,dual_capsule_elliptic_supercell,1200.0,600.0,120.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\dual_capsule_P600_L260_330_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\dual_capsule_P600_L260_330_balanced_geometry_451.mph,ok
dual_radius_P540_r97_151,dual_hole_radius_supercell,1080.0,540.0,118.79999999999998,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\dual_radius_P540_r97_151_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\dual_radius_P540_r97_151_balanced_geometry_451.mph,ok
dual_shift_P540_R130_dx35,dual_hole_shift_supercell,1080.0,540.0,122.9,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\dual_shift_P540_R130_dx35_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\dual_shift_P540_R130_dx35_balanced_geometry_451.mph,ok
grating_dual_P420_520_S160,dual_period_1d_grating,940.0,360.0,120.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\grating_dual_P420_520_S160_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\grating_dual_P420_520_S160_balanced_geometry_451.mph,ok
fold2x2_radius_P540_R95_135,folded_2x2_air_hole_radius,1080.0,1080.0,135.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\fold2x2_radius_P540_R95_135_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\fold2x2_radius_P540_R95_135_balanced_geometry_451.mph,ok
fold2x2_shift_P540_R118_d45,folded_2x2_air_hole_shift,1080.0,1080.0,129.5,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\fold2x2_shift_P540_R118_d45_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\fold2x2_shift_P540_R118_d45_balanced_geometry_451.mph,ok
rect_lattice_hole_Px540_Py460_R74,rectangular_air_hole_slab,540.0,460.0,148.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\rect_lattice_hole_Px540_Py460_R74_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\rect_lattice_hole_Px540_Py460_R74_balanced_geometry_451.mph,ok
mono_hole_P540_R74,single_air_hole_slab_reference,540.0,540.0,148.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\mono_hole_P540_R74_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\mono_hole_P540_R74_balanced_geometry_451.mph,ok
tetramer_hole_P1000_R135_90,tetramer_hole_slab,1000.0,1000.0,150.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\tetramer_hole_P1000_R135_90_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\tetramer_hole_P1000_R135_90_balanced_geometry_451.mph,ok
tetramer_pillar_P980_R145_95,tetramer_pillar_array,980.0,980.0,135.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\tetramer_pillar_P980_R145_95_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\tetramer_pillar_P980_R145_95_balanced_geometry_451.mph,ok
slot_cross_Px700_Py500,wide_slot_cross_hole,700.0,500.0,100.0,balanced,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\slot_cross_Px700_Py500_balanced_geometry_980.mph,E:\xitugrating\sin980_451_qbic_3d_design_v10_re50_sio2cap_dual_bic\outputs\family3d_geometry_only\slot_cross_Px700_Py500_balanced_geometry_451.mph,ok
