design_id,family,target_nm,n_periods,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,re_overlap,score
periodic_N1_baseline,periodic_supercell,980.0,1,0.0,1,305.90758246127683,9.980518648273689e-10,980.0098957597728,153252347519.12872,nan,0.009895759772803103
periodic_N1_baseline,periodic_supercell,980.0,1,0.02,1,305.7538683342561,0.022436084086220196,980.5025840989886,6813.886664875804,nan,21.335609570548957
periodic_N1_baseline,periodic_supercell,980.0,1,0.05,3,304.9546705706649,0.1298604174977829,983.0721970547137,1174.1632918124237,nan,27.72355456077911
periodic_N1_baseline,periodic_supercell,980.0,1,0.1,1,306.9955109187024,0.27140041639083456,976.536943823228,565.5767131849358,nan,29.700598578268803
periodic_N1_baseline,periodic_supercell,980.0,1,0.2,1,314.48336923606536,0.2644824508312893,953.2855703252221,594.5259661796448,nan,52.84357553793309
periodic_N1_baseline,periodic_supercell,980.0,1,0.35,2,304.2597510857137,0.07352917430124874,985.3175023322252,2068.972989137364,nan,28.738728227724884
periodic_N1_baseline,periodic_supercell,980.0,1,0.5,1,306.4151595668017,1.1577476387324266,978.386508108265,132.3324485041852,nan,31.0051601508263
periodic_N1_baseline,periodic_supercell,980.0,1,0.75,1,303.32244433464297,2.1996885964580524,988.3622646441934,68.94667836689567,nan,39.16969790379333
periodic_N1_baseline,periodic_supercell,980.0,1,1.0,1,309.6602065614938,5.217550812708541,968.1336240420862,29.67486256264581,nan,44.50443237680214
